w,metrica,columna,criterio,bloque,M,n_ventanas,pct_ventanas_ganadas
20,5. MPIW,mpiw,menor es mejor,train,1,680,1.0
20,5. MPIW,mpiw,menor es mejor,train,2,680,0.0
20,5. MPIW,mpiw,menor es mejor,train,3,680,0.0
20,5. MPIW,mpiw,menor es mejor,train,4,680,0.0
20,5. MPIW,mpiw,menor es mejor,test,1,281,1.0
20,5. MPIW,mpiw,menor es mejor,test,2,281,0.0
20,5. MPIW,mpiw,menor es mejor,test,3,281,0.0
20,5. MPIW,mpiw,menor es mejor,test,4,281,0.0
20,6. PICP puntual,picp,|valor - nominal|,train,1,680,0.0
20,6. PICP puntual,picp,|valor - nominal|,train,2,680,0.0
20,6. PICP puntual,picp,|valor - nominal|,train,3,680,0.0
20,6. PICP puntual,picp,|valor - nominal|,train,4,680,1.0
20,6. PICP puntual,picp,|valor - nominal|,test,1,281,0.0
20,6. PICP puntual,picp,|valor - nominal|,test,2,281,0.0
20,6. PICP puntual,picp,|valor - nominal|,test,3,281,0.0
20,6. PICP puntual,picp,|valor - nominal|,test,4,281,1.0
20,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,train,1,680,1.0
20,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,train,2,680,0.0
20,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,train,3,680,0.0
20,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,train,4,680,0.0
20,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,test,1,281,1.0
20,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,test,2,281,0.0
20,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,test,3,281,0.0
20,7. PICPB curva completa,picp_simultaneo,|valor - nominal|,test,4,281,0.0
20,8. Winkler,winkler,menor es mejor,train,1,680,0.0
20,8. Winkler,winkler,menor es mejor,train,2,680,0.0
20,8. Winkler,winkler,menor es mejor,train,3,680,0.0
20,8. Winkler,winkler,menor es mejor,train,4,680,1.0
20,8. Winkler,winkler,menor es mejor,test,1,281,0.0
20,8. Winkler,winkler,menor es mejor,test,2,281,0.0
20,8. Winkler,winkler,menor es mejor,test,3,281,0.0
20,8. Winkler,winkler,menor es mejor,test,4,281,1.0
20,9. Winkler max promedio,winkler_max_medio,menor es mejor,train,1,680,0.0
20,9. Winkler max promedio,winkler_max_medio,menor es mejor,train,2,680,0.0
20,9. Winkler max promedio,winkler_max_medio,menor es mejor,train,3,680,0.0
20,9. Winkler max promedio,winkler_max_medio,menor es mejor,train,4,680,1.0
20,9. Winkler max promedio,winkler_max_medio,menor es mejor,test,1,281,0.0
