M,3
experiment_id,escenario_1_r01_m03
objetivo_evaluacion,curva_verdadera
modo_residuo,ninguno
n_lags,1
M_fpca,3
K_base,4
var_explicada,0.997883
n_train_origenes,559
n_test_origenes,240
w_ventana,20
far_hs_norm,0.645381
far_hs_referencia,0.70
far_kn,1
far_condicion,1.0
sep_vs_far_scores_retirado,2.706359
mise_truncamiento_test,0.00575369
mise_test_FAR,0.95452171
mise_test_RF,1.01624543
mise_test_GBT,1.24137834
mise_test_media,1.3587309
mise_test_persistencia,1.25534129
mise_test_PSBPM-FD,0.93978218
